File,Smell,Details,Line,Category,Is Code Smell
test.py,Environment Closed Detected,env,107.0,ENVIRONMENT,False
test.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test.py,Hardcoded hyperparameter,gamma=0.99,48.0,HYPERPARAMETER,True
test.py,Hardcoded hyperparameter,lr_actor=0.0003,50.0,HYPERPARAMETER,True
test.py,Hardcoded hyperparameter,lr_critic=0.001,51.0,HYPERPARAMETER,True
test.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test.py,Logging,No logging detected,,CODESTYLE,True
train.py,Environment Closed Detected,env,241.0,ENVIRONMENT,False
train.py,Hardcoded hyperparameter,gamma=0.99,43.0,HYPERPARAMETER,True
train.py,Hardcoded hyperparameter,lr_actor=0.0003,45.0,HYPERPARAMETER,True
train.py,Hardcoded hyperparameter,lr_critic=0.001,46.0,HYPERPARAMETER,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,No logging detected,,CODESTYLE,True
make_gif.py,Environment Closed Detected,env,116.0,ENVIRONMENT,False
make_gif.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
make_gif.py,Hardcoded hyperparameter,gamma=0.99,40.0,HYPERPARAMETER,True
make_gif.py,Hardcoded hyperparameter,lr_actor=0.0003,42.0,HYPERPARAMETER,True
make_gif.py,Hardcoded hyperparameter,lr_critic=0.001,43.0,HYPERPARAMETER,True
make_gif.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
make_gif.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
make_gif.py,Logging,No logging detected,,CODESTYLE,True
