File,Smell,Details,Line,Category,Is Code Smell
test_rollout_mock.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_rollout_mock.py,Hardcoded hyperparameter,max_steps=10,34.0,HYPERPARAMETER,True
test_rollout_mock.py,Hardcoded hyperparameter,batch_size=4,152.0,HYPERPARAMETER,True
test_rollout_mock.py,Hardcoded hyperparameter,max_steps=5,319.0,HYPERPARAMETER,True
test_rollout_mock.py,Hardcoded hyperparameter,max_steps=5,403.0,HYPERPARAMETER,True
test_rollout_mock.py,Hardcoded hyperparameter,batch_size=2,413.0,HYPERPARAMETER,True
test_rollout_mock.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_rollout_mock.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_rollout_mock.py,Logging,No logging detected,,CODESTYLE,True
test_rollout_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test_rollout_env.py,Hardcoded hyperparameter,max_steps=10,36.0,HYPERPARAMETER,True
test_rollout_env.py,Hardcoded hyperparameter,val_batch_size=1,55.0,HYPERPARAMETER,True
test_rollout_env.py,Hardcoded hyperparameter,batch_size=1,95.0,HYPERPARAMETER,True
test_rollout_env.py,Hardcoded hyperparameter,batch_size=2,97.0,HYPERPARAMETER,True
test_rollout_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test_rollout_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test_rollout_env.py,Logging,No logging detected,,CODESTYLE,True
env_manager.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
env_manager.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
env_manager.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
env_manager.py,Logging,No logging detected,,CODESTYLE,True
base.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
base.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
base.py,Logging,No logging detected,,CODESTYLE,True
envs.py,Environment Closed Detected,env,118.0,ENVIRONMENT,False
envs.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
envs.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
envs.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
envs.py,Logging,No logging detected,,CODESTYLE,True
envs.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
envs.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
envs.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
envs.py,Logging,No logging detected,,CODESTYLE,True
alfred_tw_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
alfred_tw_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
alfred_tw_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
alfred_tw_env.py,Logging,No logging detected,,CODESTYLE,True
alfred_hybrid.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
alfred_hybrid.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
alfred_hybrid.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
alfred_hybrid.py,Logging,No logging detected,,CODESTYLE,True
alfred_thor_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
alfred_thor_env.py,Hardcoded hyperparameter,batch_size=1,225.0,HYPERPARAMETER,True
alfred_thor_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
alfred_thor_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
alfred_thor_env.py,Logging,No logging detected,,CODESTYLE,True
generate_trajectories.py,Hardcoded hyperparameter,already_keyed=False,139.0,HYPERPARAMETER,True
generate_trajectories.py,Hardcoded hyperparameter,already_keyed=True,142.0,HYPERPARAMETER,True
generate_trajectories.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
generate_trajectories.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
generate_trajectories.py,Logging,No logging detected,,CODESTYLE,True
thor_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
thor_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
thor_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
thor_env.py,Logging,No logging detected,,CODESTYLE,True
envs.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
envs.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
envs.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
envs.py,Logging,No logging detected,,CODESTYLE,True
run_web_agent_text_env.py,Environment Closed Detected,env,32.0,ENVIRONMENT,False
run_web_agent_text_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
run_web_agent_text_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
run_web_agent_text_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
run_web_agent_text_env.py,Logging,No logging detected,,CODESTYLE,True
env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
env.py,Logging,No logging detected,,CODESTYLE,True
train_rl.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train_rl.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train_rl.py,Logging,logging library imported logging,2.0,CODESTYLE,False
train_rl.py,Logging,No logging detected,,CODESTYLE,True
train_rl.py,Training and evaluation coupling,Training function takes evaluation environments as argument: 'eval_env',74.0,TRAINING,True
train_rl.py,Training and evaluation coupling,Training function calls 'evaluate()',153.0,TRAINING,True
train_rl.py,Training and evaluation coupling,Training function calls 'evaluate()',156.0,TRAINING,True
train_rl.py,Training and evaluation coupling,Training function takes evaluation environments as argument: 'eval_env',74.0,TRAINING,True
train_rl.py,Training and evaluation coupling,Training function calls 'evaluate()',153.0,TRAINING,True
train_rl.py,Training and evaluation coupling,Training function calls 'evaluate()',156.0,TRAINING,True
test.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
test.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
test.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
test.py,Logging,No logging detected,,CODESTYLE,True
web_agent_site_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
web_agent_site_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
web_agent_site_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
web_agent_site_env.py,Logging,No logging detected,,CODESTYLE,True
web_agent_text_env.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
web_agent_text_env.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
web_agent_text_env.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
web_agent_text_env.py,Logging,No logging detected,,CODESTYLE,True
gaia.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
gaia.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
gaia.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
gaia.py,Logging,logging library imported logging,9.0,CODESTYLE,False
gaia.py,Logging,call logging.info,170.0,CODESTYLE,False
gaia.py,Logging,call logging.info,172.0,CODESTYLE,False
gaia.py,Logging,call logging.warning,176.0,CODESTYLE,False
gaia.py,Logging,call logging.info,181.0,CODESTYLE,False
gaia.py,Logging,call logging.info,215.0,CODESTYLE,False
gaia.py,Logging,call logging.info,221.0,CODESTYLE,False
