File,Smell,Details,Line,Category,Is Code Smell
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,144.0,CODESTYLE,False
train.py,Logging,call logger.info,158.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,85.0,CODESTYLE,False
train.py,Logging,call logger.info,86.0,CODESTYLE,False
train.py,Logging,call logger.info,87.0,CODESTYLE,False
train.py,Logging,call logger.info,120.0,CODESTYLE,False
train.py,Logging,call logger.info,129.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,84.0,CODESTYLE,False
train.py,Logging,call logger.info,85.0,CODESTYLE,False
train.py,Logging,call logger.info,86.0,CODESTYLE,False
train.py,Logging,call logger.info,118.0,CODESTYLE,False
train.py,Logging,call logger.info,127.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,52.0,CODESTYLE,False
train.py,Logging,call logger.info,89.0,CODESTYLE,False
train.py,Logging,call logger.info,98.0,CODESTYLE,False
download_d4rl_datasets.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
download_d4rl_datasets.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
download_d4rl_datasets.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
download_d4rl_datasets.py,Logging,No logging detected,,CODESTYLE,True
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,49.0,CODESTYLE,False
train.py,Logging,call logger.info,50.0,CODESTYLE,False
train.py,Logging,call logger.info,51.0,CODESTYLE,False
train.py,Logging,call logger.info,88.0,CODESTYLE,False
train.py,Logging,call logger.info,125.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,49.0,CODESTYLE,False
train.py,Logging,call logger.info,50.0,CODESTYLE,False
train.py,Logging,call logger.info,51.0,CODESTYLE,False
train.py,Logging,call logger.info,89.0,CODESTYLE,False
train.py,Logging,call logger.info,116.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,85.0,CODESTYLE,False
train.py,Logging,call logger.info,86.0,CODESTYLE,False
train.py,Logging,call logger.info,87.0,CODESTYLE,False
train.py,Logging,call logger.info,114.0,CODESTYLE,False
train.py,Logging,call logger.info,123.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,64.0,CODESTYLE,False
train.py,Logging,call logger.info,75.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,167.0,CODESTYLE,False
env_wrappers.py,Environment Closed Detected,env,171.0,ENVIRONMENT,False
env_wrappers.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
env_wrappers.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
env_wrappers.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
env_wrappers.py,Logging,No logging detected,,CODESTYLE,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,192.0,CODESTYLE,False
train.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
train.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
train.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
train.py,Logging,call logger.info,68.0,CODESTYLE,False
train.py,Logging,call logger.info,176.0,CODESTYLE,False
train.py,Logging,call logger.info,184.0,CODESTYLE,False
actor.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
actor.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
actor.py,Missing model evaluation,Evaluation call not found in the script,,EVALUATION,True
actor.py,Logging,No logging detected,,CODESTYLE,True
env_utils.py,Missing checkpoint saving,The model does not implement intermediate checkpoint saving. Training progress could be lost.,,TRAINING,True
env_utils.py,No tuning of hyperparameters,hyperparameter tuning is missing from the script,,HYPERPARAMETER,True
